DATE,TIME,CALLER ALIAS,CAR REGISTRATION,REASON FOR CALL,RESPONSE GIVEN/CONCLUSION,LOCATION
29/01/2023,06:26:18,Caller 65,KpV 8750,Complaint,Resolved,Kevinberg
13/12/2023,17:18:30,Caller 15,KLi 3008,Booking,Pending,Kristinshire
30/01/2023,21:56:46,Caller 51,KOD 6345,General Question,Pending,Haileyborough
01/04/2024,11:58:29,Caller 3,KRc 9784,Complaint,Escalated,South Karen
02/02/2024,15:22:37,Caller 46,KjN 7383,General Question,Pending,Lake Matthewfurt
16/05/2023,15:10:48,Caller 75,Kub 2197,Booking,Escalated,Normanberg
09/05/2023,09:48:36,Caller 38,KTN 8596,Payment Issue,Resolved,Jamestown
22/06/2023,08:33:49,Caller 1,Kkh 8175,Complaint,Pending,West Leslieburgh
23/01/2024,19:37:11,Caller 77,Ktq 4695,Complaint,Pending,Kellyside
04/06/2023,19:23:38,Caller 73,Kli 7913,General Question,No Action Needed,Jonesstad
27/07/2023,20:38:59,Caller 24,KxY 9357,Booking,Resolved,Port Ana
31/07/2023,03:59:30,Caller 35,Kol 5599,General Question,Resolved,Nicolestad
15/02/2024,15:38:48,Caller 6,KHH 2286,Car Wash Inquiry,Resolved,Danielshire
18/01/2024,20:29:37,Caller 40,KUh 0687,Car Wash Inquiry,Escalated,Ayalamouth
09/02/2023,06:47:28,Caller 38,Kxa 5848,Payment Issue,Resolved,Mcclainbury
14/05/2024,15:26:17,Caller 19,KEJ 7137,Booking,Escalated,Burtonchester
08/01/2024,00:52:12,Caller 44,KHd 9481,Booking,Escalated,West Williamton
30/01/2024,03:08:50,Caller 18,KGH 6236,Booking,Resolved,Sloanborough
05/03/2023,04:51:54,Caller 64,KUJ 3845,Payment Issue,No Action Needed,South Margaret
02/11/2023,00:57:59,Caller 66,Ktd 6560,Complaint,Escalated,Williamchester
20/01/2023,12:00:51,Caller 8,KqS 9729,Booking,Escalated,Christopherport
07/11/2023,04:02:57,Caller 26,Ken 6853,Payment Issue,No Action Needed,New Deannaport
14/08/2023,20:46:32,Caller 29,KDm 7589,Car Wash Inquiry,Pending,East David
01/05/2024,01:19:03,Caller 35,KTS 7947,Car Wash Inquiry,Resolved,East Samuelshire
27/01/2023,01:52:44,Caller 8,KRI 1483,Payment Issue,No Action Needed,Andersonburgh
13/05/2024,00:53:03,Caller 7,KlK 0345,General Question,Escalated,Port Erin
08/09/2023,16:29:36,Caller 72,KGe 4020,Payment Issue,Pending,Gutierrezmouth
02/04/2023,15:30:46,Caller 20,KFW 2999,Booking,Escalated,Edwardsstad
10/07/2023,04:58:16,Caller 18,KsN 9610,General Question,Escalated,Josephside
21/12/2023,01:27:37,Caller 58,KkI 2925,Car Wash Inquiry,Escalated,North Geoffreychester
26/03/2024,15:50:47,Caller 72,Kml 2898,Booking,No Action Needed,Jeremyview
30/01/2024,04:10:05,Caller 25,KmU 5957,General Question,Pending,New Amy
14/09/2023,04:55:14,Caller 3,KRe 1904,Complaint,Resolved,Thompsonport
24/03/2024,13:23:40,Caller 57,Kjz 5894,Payment Issue,Resolved,Brittneyland
27/01/2023,12:13:10,Caller 74,KzR 7724,Car Wash Inquiry,No Action Needed,Port Jeremiah
15/12/2023,22:50:30,Caller 4,KPp 6798,Car Wash Inquiry,Resolved,Ericville
07/04/2024,21:29:30,Caller 80,KVD 5433,Car Wash Inquiry,Pending,South Dana
12/11/2023,05:46:53,Caller 17,KRf 1855,Complaint,Resolved,Ryanberg
13/03/2024,01:02:01,Caller 45,Kyy 0699,Car Wash Inquiry,Escalated,Justinstad
18/10/2023,05:17:00,Caller 44,KVj 4564,Booking,Pending,Lake Jenniferfort
07/07/2023,17:44:13,Caller 71,KPm 8801,General Question,Resolved,Lake Carlos
27/07/2023,09:45:53,Caller 16,KPk 6103,General Question,Escalated,South Jenniferfurt
25/04/2024,08:57:45,Caller 1,KFA 5708,Payment Issue,Pending,Morganchester
04/02/2023,19:15:22,Caller 54,KAr 8836,Complaint,Pending,East Ashley
27/02/2024,01:02:49,Caller 45,KPc 1410,Booking,Resolved,Nathanside
13/01/2024,19:07:55,Caller 74,KJf 4473,General Question,Escalated,North Angelica
10/05/2024,12:49:18,Caller 3,KVJ 5144,Booking,Pending,Williamschester
26/05/2023,20:19:11,Caller 66,KvP 8254,General Question,No Action Needed,East Michael
17/09/2023,18:34:41,Caller 40,KkN 9528,Complaint,Escalated,East Janiceland
09/12/2023,08:34:38,Caller 53,KUj 6018,Booking,Resolved,West Jamesport
01/03/2024,20:14:19,Caller 27,KDU 9406,Payment Issue,Resolved,Moorefurt
30/07/2023,10:29:39,Caller 74,KxI 2757,Complaint,No Action Needed,East Michaelton
24/08/2023,10:30:57,Caller 54,KAR 9183,Payment Issue,No Action Needed,West John
26/04/2024,18:49:31,Caller 43,KSA 2127,Car Wash Inquiry,Escalated,New Laura
13/01/2023,16:15:59,Caller 22,KpH 1525,Complaint,Escalated,East Morganbury
08/06/2023,13:47:20,Caller 76,KOc 0437,Booking,Pending,South Hectorstad
19/05/2023,02:02:23,Caller 77,KLA 8949,Complaint,Escalated,Rosefurt
14/05/2023,02:12:12,Caller 60,KTe 8750,Payment Issue,Escalated,New Tommyland
21/09/2023,14:50:00,Caller 42,KTU 0867,Payment Issue,Resolved,West Robertberg
20/11/2023,08:11:02,Caller 30,KAb 3729,Payment Issue,No Action Needed,South Cynthia
29/12/2023,05:21:39,Caller 75,KTf 1556,Payment Issue,Resolved,Courtneybury
27/11/2023,06:26:35,Caller 24,KgC 9613,Complaint,Escalated,Friedmanland
03/12/2023,16:58:29,Caller 9,KbI 4211,Car Wash Inquiry,Escalated,South Markton
20/06/2023,20:39:22,Caller 34,Kgj 9332,Complaint,Resolved,Paulafurt
30/12/2023,15:57:00,Caller 77,KVa 8692,Complaint,Pending,Port Timothy
13/04/2024,09:26:04,Caller 63,Kvn 8737,Booking,Pending,New Katherinetown
12/01/2023,19:03:14,Caller 50,KsN 2517,Car Wash Inquiry,Pending,Port Annette
07/02/2024,07:09:51,Caller 74,KUy 0019,Complaint,Pending,Carterstad
06/01/2023,18:23:01,Caller 32,KqZ 4827,Car Wash Inquiry,Resolved,Dixonborough
03/02/2024,10:33:39,Caller 64,KlU 3868,General Question,Escalated,Johnsonton
08/01/2024,02:18:41,Caller 37,KyE 4090,Payment Issue,Pending,New Bradborough
05/01/2024,18:37:30,Caller 53,KoJ 6476,Booking,Escalated,Alanfort
27/04/2023,22:17:34,Caller 21,KCZ 0505,Car Wash Inquiry,Resolved,North Jessicaberg
06/07/2023,05:45:18,Caller 6,KmT 8166,Booking,Resolved,Graceport
21/01/2024,03:43:34,Caller 38,Kyr 6021,Booking,Resolved,South Daniel
07/04/2024,17:59:49,Caller 47,KXM 3609,General Question,Resolved,South Davidfurt
23/10/2023,09:10:21,Caller 59,KuA 0126,Car Wash Inquiry,No Action Needed,Gabrielfort
04/01/2024,15:22:32,Caller 19,KCt 8545,General Question,Resolved,South Marktown
29/10/2023,15:47:03,Caller 15,KqH 9301,Booking,Escalated,Lake Alexisborough
11/03/2023,01:52:21,Caller 34,KuB 2743,Complaint,Escalated,West Rickyfurt
